age,gender,education,marital_status,credit_limit,credit_score,payment_ratio,days_overdue,num_prev_defaults,employment_months,debt_to_income,utilizacion_credito,loan_purpose,pay_hist_mes1,pay_hist_mes2,pay_hist_mes3,bill_amt_mes1,bill_amt_mes2,pay_amt_mes1,pay_amt_mes2,DEFAULT
59,2,3,2,200000,448,0.2961,188,0,28,0.3844,0.1876,vivienda,0,-1,4,37525.0,96518.0,17547.0,7466.0,1
72,2,3,2,50000,491,0.1334,73,1,94,0.6238,1.0,vehiculo,0,-1,1,140870.0,35786.0,12764.0,25040.0,1
49,2,2,1,50000,740,0.2291,74,1,4,0.032,1.0,consumo,2,2,0,135049.0,45756.0,24089.0,23099.0,0
35,2,2,1,20000,683,0.2262,74,0,27,0.0903,1.0,vivienda,0,-1,0,56197.0,140096.0,1130.0,25606.0,0
63,1,3,2,80000,808,0.1752,68,0,156,0.0567,0.6361,negocio,0,2,-1,50888.0,163991.0,9590.0,12302.0,0
28,2,2,2,20000,632,0.0986,92,1,25,0.1429,1.0,consumo,3,-1,-1,64138.0,3034.0,10955.0,19717.0,0
41,1,1,1,30000,675,0.4352,32,0,51,0.1813,1.0,consumo,0,1,-1,51484.0,12227.0,14171.0,10948.0,0
59,1,2,1,500000,549,0.2927,220,1,14,0.4069,0.0454,consumo,0,2,7,22714.0,61239.0,10074.0,4936.0,1
78,1,3,1,300000,639,0.5183,129,0,14,0.141,0.1829,vehiculo,0,-1,4,54875.0,10302.0,16953.0,38872.0,0
39,1,1,1,100000,599,0.2193,183,0,144,0.3244,0.3115,consumo,0,-1,0,31155.0,96238.0,37552.0,15142.0,1
43,2,1,2,150000,703,0.4633,155,0,43,0.0718,0.0957,educacion,-1,5,-1,14362.0,39168.0,2646.0,6412.0,0
31,2,1,2,30000,478,0.2723,272,0,66,0.3293,0.0782,vivienda,2,-1,9,2345.0,82969.0,29090.0,8643.0,1
31,1,1,1,20000,671,0.2226,90,0,66,0.1829,1.0,educacion,1,-1,-1,68154.0,122641.0,13879.0,3520.0,0
44,2,1,2,80000,644,0.2695,60,0,82,0.1655,0.0167,negocio,0,-1,1,1336.0,140501.0,19844.0,4982.0,0
73,2,2,1,200000,707,0.4989,4,0,21,0.2993,0.064,consumo,0,-1,-1,12798.0,39730.0,21836.0,782.0,0
56,2,3,2,200000,523,0.1848,133,2,134,0.2479,0.3741,negocio,2,-1,3,74818.0,25822.0,6131.0,24800.0,1
60,2,3,1,100000,801,0.6512,212,1,22,0.2916,0.2948,consumo,-1,2,0,29479.0,41411.0,1209.0,44824.0,0
44,1,3,2,500000,643,0.2675,158,0,36,0.1781,0.0241,vehiculo,1,-1,3,12039.0,130563.0,9561.0,21408.0,0
23,2,1,2,30000,523,0.2026,71,0,147,0.2993,0.9499,consumo,-1,1,0,28499.0,11565.0,10047.0,2498.0,0
42,2,1,1,150000,606,0.2614,133,2,49,0.366,0.1633,consumo,4,-1,-1,24499.0,28088.0,5833.0,9048.0,0
73,2,1,2,30000,430,0.2755,188,4,5,0.4392,1.0,negocio,6,-1,-1,112257.0,47854.0,36291.0,14867.0,1
22,2,3,2,500000,755,0.4347,41,0,1,0.2941,0.1564,negocio,1,-1,-1,78191.0,11823.0,10236.0,3763.0,0
